Date,Open,High,Low,Close,Adj Close,Volume
2022-09-26,2.501000,2.525500,2.466500,2.496500,2.397637,55292452
2022-09-27,2.544000,2.546500,2.428000,2.431000,2.334731,37547512
2022-09-28,2.410000,2.443000,2.363000,2.438000,2.341453,46204520
2022-09-29,2.422500,2.433500,2.353500,2.381500,2.287191,40852084
2022-09-30,2.405500,2.423000,2.380000,2.397500,2.302557,33178117
2022-10-03,2.366500,2.475000,2.356500,2.464500,2.366904,35129533
2022-10-04,2.504000,2.651000,2.495000,2.636500,2.532093,59293931
2022-10-05,2.619500,2.638500,2.555500,2.575500,2.473508,36283329
2022-10-06,2.580000,2.596500,2.537000,2.550000,2.449018,18776672
2022-10-07,2.532500,2.568000,2.502000,2.526500,2.426449,29035511
2022-10-10,2.511500,2.549000,2.491500,2.498500,2.399558,61866253
2022-10-11,2.479500,2.486000,2.435500,2.458000,2.360661,29062159
2022-10-12,2.449000,2.452500,2.395000,2.416500,2.320805,31869167
2022-10-13,2.409000,2.513000,2.395000,2.497000,2.398117,40841579
2022-10-14,2.550000,2.576000,2.512500,2.530500,2.430290,37848403
2022-10-17,2.530500,2.603000,2.525000,2.566500,2.464865,81949085
2022-10-18,2.589500,2.672000,2.587000,2.621000,2.517207,41299068
2022-10-19,2.636500,2.650000,2.583000,2.634500,2.530172,304539953
2022-10-20,2.630000,2.678500,2.607000,2.668500,2.562825,95025581
2022-10-21,2.639000,2.658500,2.590000,2.658000,2.552741,62662340
2022-10-24,2.680000,2.748000,2.669000,2.724000,2.616127,41526510
2022-10-25,2.745000,2.777000,2.688000,2.738500,2.630054,37626687
2022-10-26,2.756000,2.760000,2.602000,2.649000,2.544098,73727364
2022-10-27,2.627500,2.643500,2.601500,2.625000,2.521048,51125877
2022-10-28,2.620000,2.658000,2.602000,2.658000,2.552741,37650988
2022-10-31,2.630500,2.657000,2.596000,2.622000,2.574638,33913704
2022-11-01,2.637000,2.677500,2.631500,2.643500,2.595750,27135256
2022-11-02,2.662000,2.670500,2.607500,2.621500,2.574147,97700763
2022-11-03,2.612500,2.621000,2.561000,2.590000,2.543216,131652455
2022-11-04,2.606500,2.690500,2.599000,2.669000,2.620790,49666358
2022-11-07,2.650000,2.685000,2.633000,2.660500,2.612443,66072962
2022-11-08,2.656000,2.667000,2.636500,2.645000,2.597223,67715213
2022-11-09,2.630000,2.669500,2.597000,2.612500,2.565310,35921661
2022-11-10,2.608000,2.608000,2.521000,2.553500,2.507376,75568429
2022-11-11,2.542000,2.561500,2.501500,2.527500,2.481845,62747257
2022-11-14,2.540000,2.583500,2.528000,2.572000,2.525542,32572939
2022-11-15,2.584000,2.612500,2.565500,2.608500,2.561382,31772274
2022-11-16,2.604000,2.615000,2.575500,2.575500,2.528978,31479890
2022-11-17,2.581000,2.589500,2.503000,2.529500,2.483809,80841447
2022-11-18,2.554000,2.606000,2.540000,2.606000,2.558928,50074962
2022-11-21,2.590000,2.695500,2.587000,2.688500,2.639937,57469532
2022-11-22,2.690000,2.788500,2.682000,2.777000,2.726839,83983954
2022-11-23,2.781000,2.788000,2.736500,2.774000,2.723893,61680917
2022-11-24,2.770000,2.812000,2.767500,2.785500,2.735185,38492975
2022-11-25,2.796500,2.837500,2.781000,2.833500,2.782318,45808492
2022-11-28,2.811000,2.846500,2.797500,2.802500,2.751878,36573225
2022-11-29,2.810000,2.852000,2.782500,2.835500,2.784282,39139043
2022-11-30,2.840500,2.859000,2.803000,2.850500,2.799011,74107102
2022-12-01,2.863000,2.880000,2.816500,2.816500,2.765625,68639505
2022-12-02,2.809000,2.823000,2.776000,2.812500,2.761698,37906868
2022-12-05,2.794000,2.831500,2.790000,2.809500,2.758752,26036863
2022-12-06,2.795000,2.840000,2.757000,2.811500,2.760715,36188860
2022-12-07,2.800000,2.832000,2.782500,2.797000,2.746477,35116214
2022-12-08,2.802000,2.809000,2.772500,2.772500,2.722420,26352957
2022-12-09,2.786500,2.795000,2.737500,2.786000,2.735676,33471379
2022-12-12,2.773000,2.793000,2.759000,2.773500,2.723402,44535398
2022-12-13,2.785500,2.838500,2.764000,2.798500,2.747950,51692872
2022-12-14,2.790000,2.793500,2.746000,2.765000,2.715055,38047814
2022-12-15,2.749500,2.770000,2.667000,2.696500,2.647793,70233118
2022-12-16,2.684500,2.735000,2.667000,2.723500,2.674305,163091835
2022-12-19,2.730000,2.735000,2.705000,2.717000,2.667922,68183498
2022-12-20,2.699000,2.827000,2.687000,2.812500,2.761698,53542172
2022-12-21,2.825500,2.868500,2.798000,2.848500,2.797047,39502675
2022-12-22,2.836000,2.863000,2.807000,2.809500,2.758752,47736059
2022-12-23,2.817500,2.835500,2.782500,2.795000,2.744514,21811089
2022-12-27,2.810000,2.836000,2.802000,2.815000,2.764152,21064298
2022-12-28,2.806000,2.819000,2.792000,2.798000,2.747459,18502658
2022-12-29,2.781000,2.822500,2.769000,2.818000,2.767098,25760397
2022-12-30,2.801000,2.816500,2.774000,2.802500,2.751878,40266237
2023-01-02,2.824000,2.860000,2.814500,2.849500,2.798029,20066687
2023-01-03,2.838000,2.886000,2.812000,2.857000,2.805394,37585314
2023-01-04,2.879000,2.973500,2.875000,2.963000,2.909479,53718756
2023-01-05,2.938000,2.981000,2.912500,2.974000,2.920280,36143898
2023-01-06,2.990000,3.046500,2.985500,3.046500,2.991471,40652999
2023-01-09,3.023500,3.054500,2.987500,3.019500,2.964958,50497045
2023-01-10,3.007000,3.049000,3.004500,3.036000,2.981160,29099908
2023-01-11,3.048500,3.052000,3.008500,3.014500,2.960049,38460877
2023-01-12,3.030000,3.093000,3.030000,3.083000,3.027311,41607508
2023-01-13,3.095000,3.168500,3.084500,3.136500,3.079845,55151924
2023-01-16,3.142000,3.155000,3.090000,3.099000,3.043022,26400813
2023-01-17,3.100000,3.126500,3.079000,3.107500,3.051369,57484243
2023-01-18,3.106500,3.172500,3.105000,3.134500,3.077881,40911603
2023-01-19,3.101000,3.117500,3.003000,3.047500,2.992453,67525968
2023-01-20,3.084000,3.102000,3.055000,3.097000,3.041058,47051980
